N	P	K	pH	temperature	humidity	rainfall	soil_type	season	region	label
49	31	43	6.5	25.42	61.76	540	Loamy	Kharif	Nashik	Barnyard Millet
47	30	40	6	25.42	61.76	520	Loamy	Kharif	Nashik	Barnyard Millet
45	28	38	5.5	25.42	61.76	500	Loamy	Kharif	Nashik	Barnyard Millet
53	34	46	6.3	25.42	61.76	580	Loamy	Kharif	Nashik	Barnyard Millet
80	35	45	4.8	25.42	61.76	1300	Loamy	Kharif	Nashik	Blueberry
90	40	50	4.9	25.42	61.76	1150	Loamy	Kharif	Nashik	Blueberry
75	32	42	5	25.42	61.76	1100	Loamy	Kharif	Nashik	Blueberry
70	30	40	4.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Blueberry
85	38	48	4.6	25.42	61.76	1250	Loamy	Kharif	Nashik	Blueberry
160	65	110	6.5	25.42	61.76	850	Loamy	Kharif	Nashik	Broccoli
158	62	108	6.4	25.42	61.76	830	Loamy	Kharif	Nashik	Broccoli
155	63	105	6.3	25.42	61.76	820	Loamy	Kharif	Nashik	Broccoli
150	60	100	6.2	25.42	61.76	800	Loamy	Kharif	Nashik	Broccoli
165	68	115	6.7	25.42	61.76	870	Loamy	Kharif	Nashik	Broccoli
130	55	110	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Brussels Sprouts
128	54	108	6.7	25.42	61.76	830	Loamy	Kharif	Nashik	Brussels Sprouts
125	52	105	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Brussels Sprouts
120	50	100	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Brussels Sprouts
135	58	115	7	25.42	61.76	870	Loamy	Kharif	Nashik	Brussels Sprouts
55	35	45	6.2	25.42	61.76	650	Loamy	Kharif	Nashik	Buckwheat
54	34	44	6.8	25.42	61.76	640	Loamy	Kharif	Nashik	Buckwheat
52	32	42	6.4	25.42	61.76	620	Loamy	Kharif	Nashik	Buckwheat
50	30	40	6	25.42	61.76	600	Loamy	Kharif	Nashik	Buckwheat
58	38	48	6.6	25.42	61.76	680	Loamy	Kharif	Nashik	Buckwheat
110	65	95	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Capsicum (Colored Bell Peppers)
108	64	94	6.7	25.42	61.76	830	Loamy	Kharif	Nashik	Capsicum (Colored Bell Peppers)
105	62	92	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Capsicum (Colored Bell Peppers)
100	60	90	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Capsicum (Colored Bell Peppers)
115	68	98	7	25.42	61.76	870	Loamy	Kharif	Nashik	Capsicum (Colored Bell Peppers)
100	45	115	7.1	25.42	61.76	820	Loamy	Kharif	Nashik	Castor
95	40	110	7	25.42	61.76	800	Loamy	Kharif	Nashik	Castor
90	38	105	7	25.42	61.76	780	Loamy	Kharif	Nashik	Castor
95	40	110	7	25.42	61.76	800	Loamy	Kharif	Nashik	Castor
98	42	110	7	25.42	61.76	800	Loamy	Kharif	Nashik	Castor
210	155	610	6.2	25.42	61.76	850	Loamy	Kharif	Nashik	Celery
208	154	608	6.8	25.42	61.76	830	Loamy	Kharif	Nashik	Celery
205	152	605	6.4	25.42	61.76	820	Loamy	Kharif	Nashik	Celery
200	150	600	6	25.42	61.76	800	Loamy	Kharif	Nashik	Celery
215	158	615	6.6	25.42	61.76	870	Loamy	Kharif	Nashik	Celery
100	65	100	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Cherry Tomatoes
98	64	98	6.7	25.42	61.76	830	Loamy	Kharif	Nashik	Cherry Tomatoes
95	62	95	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Cherry Tomatoes
90	60	90	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Cherry Tomatoes
105	68	105	7	25.42	61.76	870	Loamy	Kharif	Nashik	Cherry Tomatoes
90	45	65	6.2	25.42	61.76	650	Loamy	Kharif	Nashik	Chia Seeds
88	44	64	6.8	25.42	61.76	640	Loamy	Kharif	Nashik	Chia Seeds
85	42	62	6.4	25.42	61.76	620	Loamy	Kharif	Nashik	Chia Seeds
80	40	60	6	25.42	61.76	600	Loamy	Kharif	Nashik	Chia Seeds
95	48	68	6.6	25.42	61.76	680	Loamy	Kharif	Nashik	Chia Seeds
60	30	45	6.5	25.42	61.76	700	Loamy	Kharif	Nashik	Fig (Anjeer)
58	29	43	6.3	25.42	61.76	680	Loamy	Kharif	Nashik	Fig (Anjeer)
55	28	42	6.2	25.42	61.76	650	Loamy	Kharif	Nashik	Fig (Anjeer)
50	25	40	6	25.42	61.76	600	Loamy	Kharif	Nashik	Fig (Anjeer)
65	35	50	6.8	25.42	61.76	750	Loamy	Kharif	Nashik	Fig (Anjeer)
45	28	35	5.8	25.42	61.76	750	Loamy	Kharif	Nashik	Finger Millet (Ragi)
44	27	34	6.5	25.42	61.76	740	Loamy	Kharif	Nashik	Finger Millet (Ragi)
42	26	32	6	25.42	61.76	720	Loamy	Kharif	Nashik	Finger Millet (Ragi)
40	25	30	5.5	25.42	61.76	700	Loamy	Kharif	Nashik	Finger Millet (Ragi)
48	30	38	6.2	25.42	61.76	780	Loamy	Kharif	Nashik	Finger Millet (Ragi)
90	45	80	6.1	25.42	61.76	520	Loamy	Kharif	Nashik	Flaxseed
85	40	75	6	25.42	61.76	500	Loamy	Kharif	Nashik	Flaxseed
80	35	70	5.9	25.42	61.76	480	Loamy	Kharif	Nashik	Flaxseed
85	40	75	6	25.42	61.76	500	Loamy	Kharif	Nashik	Flaxseed
95	50	85	6	25.42	61.76	550	Loamy	Kharif	Nashik	Flaxseed
55	34	45	6	25.42	61.76	650	Loamy	Kharif	Nashik	Foxtail Millet
54	33	44	6.6	25.42	61.76	640	Loamy	Kharif	Nashik	Foxtail Millet
52	32	42	6.2	25.42	61.76	620	Loamy	Kharif	Nashik	Foxtail Millet
50	30	40	5.8	25.42	61.76	600	Loamy	Kharif	Nashik	Foxtail Millet
58	36	48	6.4	25.42	61.76	680	Loamy	Kharif	Nashik	Foxtail Millet
85	32	75	6.9	25.42	61.76	860	Loamy	Kharif	Nashik	Giloy
80	30	70	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Giloy
75	28	65	6.7	25.42	61.76	840	Loamy	Kharif	Nashik	Giloy
80	30	70	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Giloy
90	35	80	7	25.42	61.76	880	Loamy	Kharif	Nashik	Giloy
40	45	60	5.5	25.42	61.76	1000	Loamy	Kharif	Nashik	Ginger
60	60	75	5.5	25.42	61.76	900	Loamy	Kharif	Nashik	Ginger
60	50	65	6	25.42	61.76	900	Loamy	Kharif	Nashik	Ginger
60	40	80	6.5	25.42	61.76	900	Loamy	Kharif	Nashik	Ginger
40	55	70	6.5	25.42	61.76	1000	Loamy	Kharif	Nashik	Ginger
25	40	20	6	25.42	61.76	700	Loamy	Kharif	Nashik	Gram
25	45	25	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Gram
30	40	20	6	25.42	61.76	700	Loamy	Kharif	Nashik	Gram
20	40	20	6	25.42	61.76	700	Loamy	Kharif	Nashik	Gram
20	45	25	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Gram
30	30	25	5.5	25.42	61.76	700	Loamy	Kharif	Nashik	Groundnut
30	35	30	6	25.42	61.76	800	Loamy	Kharif	Nashik	Groundnut
20	35	30	6	25.42	61.76	800	Loamy	Kharif	Nashik	Groundnut
25	30	25	5.5	25.42	61.76	700	Loamy	Kharif	Nashik	Groundnut
25	35	30	6	25.42	61.76	800	Loamy	Kharif	Nashik	Groundnut
90	45	90	6.8	25.42	61.76	1300	Loamy	Kharif	Nashik	Guava
88	44	88	6.3	25.42	61.76	1280	Loamy	Kharif	Nashik	Guava
85	42	85	6.2	25.42	61.76	1250	Loamy	Kharif	Nashik	Guava
80	40	80	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Guava
95	48	95	6.7	25.42	61.76	1350	Loamy	Kharif	Nashik	Guava
110	65	95	6.2	25.42	61.76	850	Loamy	Kharif	Nashik	Iceberg Lettuce
108	64	94	6.8	25.42	61.76	830	Loamy	Kharif	Nashik	Iceberg Lettuce
105	62	92	6.4	25.42	61.76	820	Loamy	Kharif	Nashik	Iceberg Lettuce
100	60	90	6	25.42	61.76	800	Loamy	Kharif	Nashik	Iceberg Lettuce
115	68	98	6.6	25.42	61.76	870	Loamy	Kharif	Nashik	Iceberg Lettuce
120	50	130	6.6	25.42	61.76	1250	Loamy	Kharif	Nashik	Jatropha
110	45	120	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Jatropha
105	40	110	6.4	25.42	61.76	1150	Loamy	Kharif	Nashik	Jatropha
110	45	120	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Jatropha
115	45	115	6.5	25.42	61.76	1180	Loamy	Kharif	Nashik	Jatropha
110	65	95	6.2	25.42	61.76	800	Loamy	Kharif	Nashik	Kale
108	64	94	6.8	25.42	61.76	780	Loamy	Kharif	Nashik	Kale
105	62	92	6.4	25.42	61.76	770	Loamy	Kharif	Nashik	Kale
100	60	90	6	25.42	61.76	750	Loamy	Kharif	Nashik	Kale
115	68	98	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Kale
120	60	160	5.8	25.42	61.76	1400	Loamy	Kharif	Nashik	Kiwi
105	52	152	6.1	25.42	61.76	1350	Loamy	Kharif	Nashik	Kiwi
110	55	155	6.2	25.42	61.76	1300	Loamy	Kharif	Nashik	Kiwi
100	50	150	6	25.42	61.76	1200	Loamy	Kharif	Nashik	Kiwi
115	58	158	5.9	25.42	61.76	1250	Loamy	Kharif	Nashik	Kiwi
85	28	55	7.1	25.42	61.76	610	Loamy	Kharif	Nashik	Lavender
80	25	50	7	25.42	61.76	600	Loamy	Kharif	Nashik	Lavender
78	22	48	7	25.42	61.76	590	Loamy	Kharif	Nashik	Lavender
80	25	50	7	25.42	61.76	600	Loamy	Kharif	Nashik	Lavender
82	27	52	7.1	25.42	61.76	600	Loamy	Kharif	Nashik	Lavender
95	32	80	6.1	25.42	61.76	1220	Loamy	Kharif	Nashik	Lemongrass
90	30	75	6	25.42	61.76	1200	Loamy	Kharif	Nashik	Lemongrass
85	28	70	5.9	25.42	61.76	1180	Loamy	Kharif	Nashik	Lemongrass
90	30	75	6	25.42	61.76	1200	Loamy	Kharif	Nashik	Lemongrass
92	31	77	6	25.42	61.76	1200	Loamy	Kharif	Nashik	Lemongrass
130	45	110	7.1	25.42	61.76	1100	Loamy	Kharif	Nashik	Moringa
120	40	100	7	25.42	61.76	1000	Loamy	Kharif	Nashik	Moringa
115	38	95	7	25.42	61.76	950	Loamy	Kharif	Nashik	Moringa
120	40	100	7	25.42	61.76	1000	Loamy	Kharif	Nashik	Moringa
125	42	105	7	25.42	61.76	1050	Loamy	Kharif	Nashik	Moringa
110	65	90	6.1	25.42	61.76	730	Loamy	Kharif	Nashik	Mustard
100	60	85	6	25.42	61.76	700	Loamy	Kharif	Nashik	Mustard
95	55	80	5.9	25.42	61.76	680	Loamy	Kharif	Nashik	Mustard
100	60	85	6	25.42	61.76	700	Loamy	Kharif	Nashik	Mustard
120	70	95	6	25.42	61.76	750	Loamy	Kharif	Nashik	Mustard
120	60	160	6.5	25.42	61.76	1400	Loamy	Perennial	Konkan	Papaya
105	52	152	6.3	25.42	61.76	1250	Loamy	Perennial	Konkan	Papaya
110	55	155	6.2	25.42	61.76	1300	Loamy	Perennial	Konkan	Papaya
100	50	150	6	25.42	61.76	1200	Loamy	Perennial	Konkan	Papaya
115	58	158	6.8	25.42	61.76	1350	Loamy	Perennial	Konkan	Papaya
110	65	95	6.2	25.42	61.76	850	Loamy	Kharif	Nashik	Parsley
108	64	94	6.8	25.42	61.76	830	Loamy	Kharif	Nashik	Parsley
105	62	92	6.4	25.42	61.76	820	Loamy	Kharif	Nashik	Parsley
100	60	90	6	25.42	61.76	800	Loamy	Kharif	Nashik	Parsley
115	68	98	6.6	25.42	61.76	870	Loamy	Kharif	Nashik	Parsley
90	45	110	6.8	25.42	61.76	1800	Loamy	Kharif	Nashik	Passion Fruit
88	44	108	6.7	25.42	61.76	1550	Loamy	Kharif	Nashik	Passion Fruit
85	42	105	6.2	25.42	61.76	1600	Loamy	Kharif	Nashik	Passion Fruit
80	40	100	6.5	25.42	61.76	1500	Loamy	Kharif	Nashik	Passion Fruit
95	48	115	6	25.42	61.76	1700	Loamy	Kharif	Nashik	Passion Fruit
65	34	45	6.2	25.42	61.76	450	Loamy	Kharif	Nashik	Pearl Millet (Bajra)
64	33	44	6.8	25.42	61.76	440	Loamy	Kharif	Nashik	Pearl Millet (Bajra)
62	32	42	6.4	25.42	61.76	420	Loamy	Kharif	Nashik	Pearl Millet (Bajra)
60	30	40	6	25.42	61.76	400	Loamy	Kharif	Nashik	Pearl Millet (Bajra)
68	36	48	6.6	25.42	61.76	480	Loamy	Kharif	Nashik	Pearl Millet (Bajra)
120	50	90	7	25.42	61.76	700	Loamy	Kharif	Nashik	Pomegranate (Bhagwa Variety)
105	42	82	6.6	25.42	61.76	620	Loamy	Kharif	Nashik	Pomegranate (Bhagwa Variety)
110	45	85	6.8	25.42	61.76	650	Loamy	Kharif	Nashik	Pomegranate (Bhagwa Variety)
100	40	80	6.5	25.42	61.76	600	Loamy	Kharif	Nashik	Pomegranate (Bhagwa Variety)
115	48	88	7.2	25.42	61.76	750	Loamy	Kharif	Nashik	Pomegranate (Bhagwa Variety)
53	34	83	6.6	25.42	61.76	610	Loamy	Kharif	Nashik	Pomegranates
55	35	85	6.7	25.42	61.76	550	Loamy	Kharif	Nashik	Pomegranates
52	33	85	6.6	25.42	61.76	570	Loamy	Kharif	Nashik	Pomegranates
50	30	80	6.5	25.42	61.76	600	Loamy	Kharif	Nashik	Pomegranates
56	37	88	6.7	25.42	61.76	640	Loamy	Kharif	Nashik	Pomegranates
45	28	75	6.6	25.42	61.76	500	Loamy	Kharif	Nashik	Pomegranates
58	38	92	6.8	25.42	61.76	550	Loamy	Kharif	Nashik	Pomegranates
50	30	80	6.5	25.42	61.76	620	Loamy	Kharif	Nashik	Pomegranates
60	40	90	6.8	25.42	61.76	550	Loamy	Kharif	Nashik	Pomegranates
48	30	78	6.7	25.42	61.76	590	Loamy	Kharif	Nashik	Pomegranates
110	65	95	6.2	25.42	61.76	350	Loamy	Kharif	Nashik	Quinoa
108	64	94	6.8	25.42	61.76	340	Loamy	Kharif	Nashik	Quinoa
105	62	92	6.4	25.42	61.76	320	Loamy	Kharif	Nashik	Quinoa
100	60	90	6	25.42	61.76	300	Loamy	Kharif	Nashik	Quinoa
115	68	98	6.6	25.42	61.76	370	Loamy	Kharif	Nashik	Quinoa
75	20	45	7.6	25.42	61.76	560	Loamy	Kharif	Nashik	Rosemary
70	18	40	7.5	25.42	61.76	550	Loamy	Kharif	Nashik	Rosemary
68	17	38	7.4	25.42	61.76	540	Loamy	Kharif	Nashik	Rosemary
70	18	40	7.5	25.42	61.76	550	Loamy	Kharif	Nashik	Rosemary
72	19	42	7.5	25.42	61.76	550	Loamy	Kharif	Nashik	Rosemary
36	48	47	6.8	25.42	61.76	310	Loamy	Kharif	Nashik	Saffron (Kesar)
32	42	43	6.8	25.42	61.76	350	Loamy	Kharif	Nashik	Saffron (Kesar)
31	41	42	6.9	25.42	61.76	300	Loamy	Kharif	Nashik	Saffron (Kesar)
30	40	40	6.5	25.42	61.76	300	Loamy	Kharif	Nashik	Saffron (Kesar)
34	44	45	6.7	25.42	61.76	330	Loamy	Kharif	Nashik	Saffron (Kesar)
28	38	41	6.7	25.42	61.76	270	Loamy	Kharif	Nashik	Saffron (Kesar)
33	41	42	6.6	25.42	61.76	290	Loamy	Kharif	Nashik	Saffron (Kesar)
33	43	44	6.5	25.42	61.76	280	Loamy	Kharif	Nashik	Saffron (Kesar)
35	45	46	6.6	25.42	61.76	320	Loamy	Kharif	Nashik	Saffron (Kesar)
30	39	40	6.5	25.42	61.76	310	Loamy	Kharif	Nashik	Saffron (Kesar)
85	55	75	6.6	25.42	61.76	420	Loamy	Kharif	Nashik	Sesame
80	50	70	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Sesame
75	45	65	6.4	25.42	61.76	380	Loamy	Kharif	Nashik	Sesame
80	50	70	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Sesame
90	60	80	6.5	25.42	61.76	450	Loamy	Kharif	Nashik	Sesame
105	37	85	7.3	25.42	61.76	920	Loamy	Kharif	Nashik	Shatavari
100	35	80	7.2	25.42	61.76	900	Loamy	Kharif	Nashik	Shatavari
95	33	75	7	25.42	61.76	880	Loamy	Kharif	Nashik	Shatavari
100	35	80	7.2	25.42	61.76	900	Loamy	Kharif	Nashik	Shatavari
110	40	90	7.2	25.42	61.76	930	Loamy	Kharif	Nashik	Shatavari
55	28	38	6.2	25.42	61.76	500	Loamy	Kharif	Nashik	Sorghum (Jowar)
54	27	37	6.8	25.42	61.76	490	Loamy	Kharif	Nashik	Sorghum (Jowar)
52	26	36	6.4	25.42	61.76	470	Loamy	Kharif	Nashik	Sorghum (Jowar)
50	25	35	6	25.42	61.76	450	Loamy	Kharif	Nashik	Sorghum (Jowar)
58	30	40	6.6	25.42	61.76	530	Loamy	Kharif	Nashik	Sorghum (Jowar)
40	35	25	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Soybean
40	30	25	6	25.42	61.76	400	Loamy	Kharif	Nashik	Soybean
60	40	30	7	25.42	61.76	300	Loamy	Kharif	Nashik	Soybean
60	30	20	6	25.42	61.76	300	Loamy	Kharif	Nashik	Soybean
40	30	25	6	25.42	61.76	400	Loamy	Kharif	Nashik	Soybean
55	22	48	6.6	25.42	61.76	850	Loamy	Kharif	Nashik	Stevia
50	20	47	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Stevia
45	18	42	6.4	25.42	61.76	780	Loamy	Kharif	Nashik	Stevia
50	20	45	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Stevia
60	25	50	6.7	25.42	61.76	810	Loamy	Kharif	Nashik	Stevia
200	80	120	6.8	25.42	61.76	1500	Loamy	Kharif	Nashik	Strawberry
220	90	130	6.7	25.42	61.76	1400	Loamy	Kharif	Nashik	Strawberry
250	70	90	6.2	25.42	61.76	1000	Loamy	Kharif	Nashik	Strawberry
150	60	100	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Strawberry
180	50	110	6	25.42	61.76	1300	Loamy	Kharif	Nashik	Strawberry
100	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
75	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
90	50	115	6.5	25.42	61.76	1300	Loamy	Kharif	Nashik	Sugarcane
95	50	115	6.5	25.42	61.76	1300	Loamy	Kharif	Nashik	Sugarcane
85	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
80	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
85	50	115	6.5	25.42	61.76	1300	Loamy	Kharif	Nashik	Sugarcane
95	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
80	50	115	6.5	25.42	61.76	1300	Loamy	Kharif	Nashik	Sugarcane
90	60	110	7.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Sugarcane
125	60	95	6.6	25.42	61.76	620	Loamy	Kharif	Nashik	Sunflower
120	55	90	6.5	25.42	61.76	600	Loamy	Kharif	Nashik	Sunflower
115	50	85	6.4	25.42	61.76	590	Loamy	Kharif	Nashik	Sunflower
120	55	90	6.5	25.42	61.76	600	Loamy	Kharif	Nashik	Sunflower
130	65	100	6.5	25.42	61.76	650	Loamy	Kharif	Nashik	Sunflower
115	65	105	6.6	25.42	61.76	1050	Loamy	Kharif	Nashik	Sweet Corn
110	60	100	6.5	25.42	61.76	1000	Loamy	Kharif	Nashik	Sweet Corn
100	55	90	6.4	25.42	61.76	950	Loamy	Kharif	Nashik	Sweet Corn
110	60	100	6.5	25.42	61.76	1000	Loamy	Kharif	Nashik	Sweet Corn
120	70	110	6.5	25.42	61.76	1100	Loamy	Kharif	Nashik	Sweet Corn
35	18	95	5.5	25.42	61.76	500	Loamy	Kharif	Nashik	Teff
34	17	94	6.8	25.42	61.76	490	Loamy	Kharif	Nashik	Teff
32	16	92	6	25.42	61.76	470	Loamy	Kharif	Nashik	Teff
30	15	90	5	25.42	61.76	450	Loamy	Kharif	Nashik	Teff
38	20	98	6.5	25.42	61.76	530	Loamy	Kharif	Nashik	Teff
45	27	65	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Tulsi
40	25	60	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Tulsi
38	22	58	6.4	25.42	61.76	780	Loamy	Kharif	Nashik	Tulsi
40	25	60	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Tulsi
42	23	62	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Tulsi
35	20	20	6	25.42	61.76	500	Loamy	Kharif	Nashik	Tur
35	30	20	7	25.42	61.76	500	Loamy	Kharif	Nashik	Tur
40	20	20	6	25.42	61.76	500	Loamy	Kharif	Nashik	Tur
30	20	20	6	25.42	61.76	500	Loamy	Kharif	Nashik	Tur
30	25	25	6.5	25.42	61.76	600	Loamy	Kharif	Nashik	Tur
65	30	20	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Urad
80	30	20	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Urad
70	30	20	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Urad
60	30	20	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Urad
75	30	20	6.5	25.42	61.76	400	Loamy	Kharif	Nashik	Urad
55	22	58	6.6	25.42	61.76	1250	Loamy	Kharif	Nashik	Vetiver
50	20	55	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Vetiver
45	18	50	6.4	25.42	61.76	1150	Loamy	Kharif	Nashik	Vetiver
50	20	55	6.5	25.42	61.76	1200	Loamy	Kharif	Nashik	Vetiver
60	25	60	6.5	25.42	61.76	1300	Loamy	Kharif	Nashik	Vetiver
100	65	100	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Zucchini (Green & Yellow)
98	64	98	6.7	25.42	61.76	830	Loamy	Kharif	Nashik	Zucchini (Green & Yellow)
95	62	95	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Zucchini (Green & Yellow)
90	60	90	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Zucchini (Green & Yellow)
105	68	105	7	25.42	61.76	870	Loamy	Kharif	Nashik	Zucchini (Green & Yellow)
100	75	50	6.68	25.42	61.76	1603	Alluvial	Perennial	Konkan	Banana
100	75	50	6.48	25.42	61.76	1026	Alluvial	Perennial	Konkan	Banana
100	75	50	6.58	25.42	61.76	1037	Alluvial	Perennial	Konkan	Banana
100	75	50	6.62	25.42	61.76	1603	Alluvial	Perennial	Konkan	Banana
100	75	50	6.34	25.42	61.76	1299	Alluvial	Perennial	Konkan	Banana
100	75	50	6.54	25.42	61.76	1111	Alluvial	Perennial	Konkan	Banana
100	75	50	6.56	25.42	61.76	1603	Alluvial	Perennial	Konkan	Banana
70	40	45	5.34	25.42	61.76	87	Loamy	Kharif	Nashik	Barley
70	40	45	5.64	25.42	61.76	73	Loamy	Kharif	Nashik	Barley
70	40	45	5.34	25.42	61.76	75	Loamy	Kharif	Nashik	Barley
70	40	45	5.52	25.42	61.76	19	Loamy	Kharif	Nashik	Barley
70	40	45	5.54	25.42	61.76	73	Loamy	Kharif	Nashik	Barley
60	10	20	6.46	25.42	61.76	884	Loamy	Kharif	Nashik	Bittergourd
60	10	20	6.42	25.42	61.76	2817	Loamy	Kharif	Nashik	Bittergourd
60	10	20	6.42	25.42	61.76	884	Loamy	Kharif	Nashik	Bittergourd
60	10	20	6.66	25.42	61.76	1350	Loamy	Kharif	Nashik	Bittergourd
60	10	20	6.62	25.42	61.76	884	Loamy	Kharif	Nashik	Bittergourd
40	60	20	5.14	25.42	61.76	127	Black	Kharif	Vidarbha	Blackgram
40	60	20	5	25.42	61.76	840	Black	Kharif	Vidarbha	Blackgram
40	60	20	4.98	25.42	61.76	840	Black	Kharif	Vidarbha	Blackgram
